language,age,measure,uni_lemma,words,prop
American Sign Language,10,produces,chocolate,CHOCOLATE,0
American Sign Language,18,produces,chocolate,CHOCOLATE,0
American Sign Language,21,produces,chocolate,CHOCOLATE,0
American Sign Language,23,produces,chocolate,CHOCOLATE,0.25
American Sign Language,24,produces,chocolate,CHOCOLATE,0.3333333333333333
American Sign Language,27,produces,chocolate,CHOCOLATE,0.2
American Sign Language,30,produces,chocolate,CHOCOLATE,0.6666666666666666
American Sign Language,31,produces,chocolate,CHOCOLATE,1
American Sign Language,32,produces,chocolate,CHOCOLATE,0.8333333333333334
American Sign Language,34,produces,chocolate,CHOCOLATE,0.6666666666666666
British Sign Language,8,produces,chocolate,chocolate,0
British Sign Language,9,produces,chocolate,chocolate,0
British Sign Language,10,produces,chocolate,chocolate,0
British Sign Language,11,produces,chocolate,chocolate,0
British Sign Language,12,produces,chocolate,chocolate,0
British Sign Language,13,produces,chocolate,chocolate,0
British Sign Language,14,produces,chocolate,chocolate,0.14285714285714285
British Sign Language,15,produces,chocolate,chocolate,0
British Sign Language,16,produces,chocolate,chocolate,0.14285714285714285
British Sign Language,17,produces,chocolate,chocolate,0
British Sign Language,18,produces,chocolate,chocolate,0
British Sign Language,19,produces,chocolate,chocolate,0.25
British Sign Language,20,produces,chocolate,chocolate,0.18181818181818182
British Sign Language,21,produces,chocolate,chocolate,0
British Sign Language,22,produces,chocolate,chocolate,0.3333333333333333
British Sign Language,23,produces,chocolate,chocolate,0.14285714285714285
British Sign Language,24,produces,chocolate,chocolate,0.2
British Sign Language,25,produces,chocolate,chocolate,0.14285714285714285
British Sign Language,26,produces,chocolate,chocolate,0.6666666666666666
British Sign Language,27,produces,chocolate,chocolate,0
British Sign Language,28,produces,chocolate,chocolate,0
British Sign Language,29,produces,chocolate,chocolate,0.7142857142857143
British Sign Language,30,produces,chocolate,chocolate,0.4
British Sign Language,32,produces,chocolate,chocolate,0.6666666666666666
British Sign Language,33,produces,chocolate,chocolate,0.4
British Sign Language,36,produces,chocolate,chocolate,0.3333333333333333
Cantonese,16,produces,chocolate,朱古力,0
Cantonese,17,produces,chocolate,朱古力,0.06557377049180328
Cantonese,18,produces,chocolate,朱古力,0.07575757575757576
Cantonese,19,produces,chocolate,朱古力,0.07575757575757576
Cantonese,20,produces,chocolate,朱古力,0.2191780821917808
Cantonese,21,produces,chocolate,朱古力,0.16666666666666666
Cantonese,22,produces,chocolate,朱古力,0.2857142857142857
Cantonese,23,produces,chocolate,朱古力,0.3918918918918919
Cantonese,24,produces,chocolate,朱古力,0.4411764705882353
Cantonese,25,produces,chocolate,朱古力,0.5384615384615384
Cantonese,26,produces,chocolate,朱古力,0.6417910447761194
Cantonese,27,produces,chocolate,朱古力,0.7419354838709677
Cantonese,28,produces,chocolate,朱古力,0.803030303030303
Cantonese,29,produces,chocolate,朱古力,0.8591549295774648
Cantonese,30,produces,chocolate,朱古力,0.8088235294117647
Croatian,8,produces,chocolate,čokolada,0
Croatian,9,produces,chocolate,čokolada,0
Croatian,10,produces,chocolate,čokolada,0
Croatian,11,produces,chocolate,čokolada,0
Croatian,12,produces,chocolate,čokolada,0
Croatian,13,produces,chocolate,čokolada,0.029411764705882353
Croatian,14,produces,chocolate,čokolada,0.10714285714285714
Croatian,15,produces,chocolate,čokolada,0.20833333333333334
Croatian,16,produces,chocolate,čokolada,0.3404255319148936
Croatian,17,produces,chocolate,čokolada,0.36
Croatian,18,produces,chocolate,čokolada,0.36363636363636365
Croatian,19,produces,chocolate,čokolada,0.47619047619047616
Croatian,20,produces,chocolate,čokolada,0.5769230769230769
Croatian,21,produces,chocolate,čokolada,0.5862068965517241
Croatian,22,produces,chocolate,čokolada,0.75
Croatian,23,produces,chocolate,čokolada,0.8846153846153846
Croatian,24,produces,chocolate,čokolada,0.8666666666666667
Croatian,25,produces,chocolate,čokolada,0.9666666666666667
Croatian,26,produces,chocolate,čokolada,0.9655172413793104
Croatian,27,produces,chocolate,čokolada,0.96
Croatian,28,produces,chocolate,čokolada,0.9523809523809523
Croatian,29,produces,chocolate,čokolada,0.8928571428571429
Croatian,30,produces,chocolate,čokolada,0.9642857142857143
English (American),16,produces,chocolate,chocolate,0.02510460251046025
English (American),17,produces,chocolate,chocolate,0.040293040293040296
