language,age,measure,uni_lemma,words,prop
American Sign Language,10,produces,dog,DOG,0
American Sign Language,18,produces,dog,DOG,1
American Sign Language,21,produces,dog,DOG,0.75
American Sign Language,23,produces,dog,DOG,0.75
American Sign Language,24,produces,dog,DOG,1
American Sign Language,27,produces,dog,DOG,1
American Sign Language,30,produces,dog,DOG,1
American Sign Language,31,produces,dog,DOG,1
American Sign Language,32,produces,dog,DOG,1
American Sign Language,34,produces,dog,DOG,1
British Sign Language,8,produces,dog,dog,0
British Sign Language,9,produces,dog,dog,0.25
British Sign Language,10,produces,dog,dog,0
British Sign Language,11,produces,dog,dog,0.16666666666666666
British Sign Language,12,produces,dog,dog,0
British Sign Language,13,produces,dog,dog,0.16666666666666666
British Sign Language,14,produces,dog,dog,0.42857142857142855
British Sign Language,15,produces,dog,dog,0.3333333333333333
British Sign Language,16,produces,dog,dog,0.42857142857142855
British Sign Language,17,produces,dog,dog,0.5714285714285714
British Sign Language,18,produces,dog,dog,0.625
British Sign Language,19,produces,dog,dog,1
British Sign Language,20,produces,dog,dog,0.9090909090909091
British Sign Language,21,produces,dog,dog,0.8
British Sign Language,22,produces,dog,dog,1
British Sign Language,23,produces,dog,dog,0.8571428571428571
British Sign Language,24,produces,dog,dog,1
British Sign Language,25,produces,dog,dog,1
British Sign Language,26,produces,dog,dog,1
British Sign Language,27,produces,dog,dog,1
British Sign Language,28,produces,dog,dog,1
British Sign Language,29,produces,dog,dog,1
British Sign Language,30,produces,dog,dog,1
British Sign Language,32,produces,dog,dog,1
British Sign Language,33,produces,dog,dog,1
British Sign Language,36,produces,dog,dog,1
Cantonese,16,produces,dog,狗,0.4222222222222222
Cantonese,17,produces,dog,狗,0.5081967213114754
Cantonese,18,produces,dog,狗,0.7424242424242424
Cantonese,19,produces,dog,狗,0.6818181818181818
Cantonese,20,produces,dog,狗,0.8082191780821918
Cantonese,21,produces,dog,狗,0.75
Cantonese,22,produces,dog,狗,0.7777777777777778
Cantonese,23,produces,dog,狗,0.7837837837837838
Cantonese,24,produces,dog,狗,0.8970588235294118
Cantonese,25,produces,dog,狗,0.9076923076923077
Cantonese,26,produces,dog,狗,0.8955223880597015
Cantonese,27,produces,dog,狗,0.9354838709677419
Cantonese,28,produces,dog,狗,0.9848484848484849
Cantonese,29,produces,dog,狗,0.971830985915493
Cantonese,30,produces,dog,狗,0.9558823529411765
Croatian,8,produces,dog,pas,0
Croatian,9,produces,dog,pas,0
Croatian,10,produces,dog,pas,0.045454545454545456
Croatian,11,produces,dog,pas,0
Croatian,12,produces,dog,pas,0.05714285714285714
Croatian,13,produces,dog,pas,0.17647058823529413
Croatian,14,produces,dog,pas,0.25
Croatian,15,produces,dog,pas,0.25
Croatian,16,produces,dog,pas,0.5106382978723404
Croatian,17,produces,dog,pas,0.28
Croatian,18,produces,dog,pas,0.45454545454545453
Croatian,19,produces,dog,pas,0.5238095238095238
Croatian,20,produces,dog,pas,0.6923076923076923
Croatian,21,produces,dog,pas,0.6551724137931034
Croatian,22,produces,dog,pas,0.75
Croatian,23,produces,dog,pas,0.7307692307692307
Croatian,24,produces,dog,pas,0.9
Croatian,25,produces,dog,pas,0.8333333333333334
Croatian,26,produces,dog,pas,0.9655172413793104
Croatian,27,produces,dog,pas,0.96
Croatian,28,produces,dog,pas,0.9523809523809523
Croatian,29,produces,dog,pas,0.8928571428571429
Croatian,30,produces,dog,pas,0.9642857142857143
Danish,8,produces,dog,hund,0
Danish,9,produces,dog,hund,0
Danish,10,produces,dog,hund,0
Danish,11,produces,dog,hund,0
Danish,12,produces,dog,hund,0.026595744680851064
Danish,13,produces,dog,hund,0.06018518518518518
Danish,14,produces,dog,hund,0.07303370786516854
Danish,15,produces,dog,hund,0.11822660098522167
Danish,16,produces,dog,hund,0.17827298050139276
Danish,17,produces,dog,hund,0.2745664739884393
Danish,18,produces,dog,hund,0.3407821229050279
Danish,19,produces,dog,hund,0.44598337950138506
Danish,20,produces,dog,hund,0.5893854748603352
Danish,21,produces,dog,hund,0.635593220338983
Danish,22,produces,dog,hund,0.723404255319149
Danish,23,produces,dog,hund,0.7894736842105263
Danish,24,produces,dog,hund,0.875
Danish,25,produces,dog,hund,0.8695652173913043
Danish,26,produces,dog,hund,0.9368932038834952
Danish,27,produces,dog,hund,0.9602272727272727
Danish,28,produces,dog,hund,0.9631578947368421
Danish,29,produces,dog,hund,0.9615384615384616
Danish,30,produces,dog,hund,0.976878612716763
Danish,31,produces,dog,hund,0.9828571428571429
