data_id,age,language,form,birth_order,ethnicity,sex,zygosity,original_id,norming,longitudinal,source_name,measure,vocab,identity,cross_sectional,demo,n,edu
129242,27,English (American),WS,Fourth,Hispanic,Female,NA,L1007,TRUE,FALSE,Marchman,production,497,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
129250,28,English (American),WS,Second,Black,Female,NA,L1029,TRUE,FALSE,Marchman,production,558,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
129253,26,English (American),WS,Fifth,Other,Female,NA,L1038,TRUE,FALSE,Marchman,production,190,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
129254,18,English (American),WS,Fourth,Other,Male,NA,L104,TRUE,FALSE,Marchman,production,32,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
129256,28,English (American),WS,Second,Other,Male,NA,L1045,TRUE,FALSE,Marchman,production,199,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
129257,24,English (American),WS,Second,Other,Male,NA,L1046,TRUE,FALSE,Marchman,production,330,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
129259,16,English (American),WS,Third,Hispanic,Male,NA,L105,TRUE,FALSE,Marchman,production,16,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
129261,30,English (American),WS,Third,Other,Male,NA,L1055,TRUE,FALSE,Marchman,production,643,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
129265,29,English (American),WS,Second,Other,Male,NA,L1076,TRUE,FALSE,Marchman,production,462,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
129275,25,English (American),WS,Second,Other,Male,NA,L1112,TRUE,FALSE,Marchman,production,65,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
129287,22,English (American),WS,Sixth,Black,Male,NA,L1157,TRUE,FALSE,Marchman,production,323,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
129288,30,English (American),WS,Second,Other,Male,NA,L116,TRUE,FALSE,Marchman,production,316,All Data,TRUE,"Primary, Some Secondary",131,"Primary, Some Secondary (n = 131)"
